ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateThisUpdate,DateOfDataset,Pop0-19ConstNum,Pop0-19ConstRate,Pop20-64ConstNum,Pop20-64ConstRate,Pop65ConstNum,Pop65ConstRate,PopTotalConstNum,Pop0-19RegNum,Pop0-19RegRate,Pop20-64RegNum,Pop20-64RegRate,Pop65RegNum,Pop65RegRate,PopTotalRegNum,Pop0-19UKNum,Pop0-19UKRate,Pop20-64UKNum,Pop20-64UKRate,Pop65UKNum,Pop65UKRate,PopTotalUKNum
E14000554,Berwick-upon-Tweed,E15000001,North East,K02000001,UK,05/04/16,01/01/14,14389,0.190230037,42366,0.560100476,18885,0.249669487,75640,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000569,Bishop Auckland,E15000001,North East,K02000001,UK,05/04/16,01/01/14,19230,0.218567434,50253,0.571173649,18499,0.210258917,87982,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000574,Blaydon,E15000001,North East,K02000001,UK,05/04/16,01/01/14,19173,0.21673958,50149,0.56690519,19139,0.21635523,88461,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000575,Blyth Valley,E15000001,North East,K02000001,UK,05/04/16,01/01/14,18462,0.224453819,47560,0.578215992,16231,0.197330189,82253,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000641,City of Durham,E15000001,North East,K02000001,UK,05/04/16,01/01/14,20422,0.210022934,59602,0.612955974,17213,0.177021093,97237,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000658,Darlington,E15000001,North East,K02000001,UK,05/04/16,01/01/14,21811,0.239591801,52226,0.573697739,16997,0.18671046,91034,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000677,Easington,E15000001,North East,K02000001,UK,05/04/16,01/01/14,18942,0.22887592,48282,0.583390728,15537,0.187733353,82761,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000709,Gateshead,E15000001,North East,K02000001,UK,05/04/16,01/01/14,21965,0.231783886,57337,0.605044056,15463,0.163172057,94765,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000733,Hartlepool,E15000001,North East,K02000001,UK,05/04/16,01/01/14,22317,0.241030349,53139,0.57391727,17134,0.185052381,92590,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000746,Hexham,E15000001,North East,K02000001,UK,05/04/16,01/01/14,15607,0.204446016,41752,0.546935995,18979,0.248617988,76338,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000754,Houghton and Sunderland South,E15000001,North East,K02000001,UK,05/04/16,01/01/14,19326,0.22051323,50952,0.581371732,17363,0.198115037,87641,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000765,Jarrow,E15000001,North East,K02000001,UK,05/04/16,01/01/14,18751,0.224942718,48556,0.582492592,16052,0.19256469,83359,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000819,Middlesbrough,E15000001,North East,K02000001,UK,05/04/16,01/01/14,24984,0.263953599,56122,0.592923626,13547,0.143122775,94653,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000820,Middlesbrough South and East Cleveland,E15000001,North East,K02000001,UK,05/04/16,01/01/14,21323,0.229989322,52047,0.561377585,19343,0.208633094,92713,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000831,Newcastle upon Tyne Central,E15000001,North East,K02000001,UK,05/04/16,01/01/14,26861,0.272697739,59571,0.604775586,12069,0.122526675,98501,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000832,Newcastle upon Tyne East,E15000001,North East,K02000001,UK,05/04/16,01/01/14,19712,0.197258081,68628,0.686760733,11590,0.115981187,99930,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000833,Newcastle upon Tyne North,E15000001,North East,K02000001,UK,05/04/16,01/01/14,21429,0.234442694,52179,0.570861231,17796,0.194696075,91404,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000840,North Durham,E15000001,North East,K02000001,UK,05/04/16,01/01/14,19242,0.220011663,50777,0.580580615,17440,0.199407722,87459,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000853,North Tyneside,E15000001,North East,K02000001,UK,05/04/16,01/01/14,22458,0.217620497,62222,0.602938041,18518,0.179441462,103198,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000856,North West Durham,E15000001,North East,K02000001,UK,05/04/16,01/01/14,20221,0.217840022,53717,0.578691085,18887,0.203468893,92825,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000891,Redcar,E15000001,North East,K02000001,UK,05/04/16,01/01/14,20009,0.230531713,48908,0.56348868,17878,0.205979607,86795,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000915,Sedgefield,E15000001,North East,K02000001,UK,05/04/16,01/01/14,19008,0.226712149,47768,0.569738317,17066,0.203549534,83842,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000944,South Shields,E15000001,North East,K02000001,UK,05/04/16,01/01/14,18072,0.218630535,48595,0.587890152,15993,0.193479313,82660,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000970,Stockton North,E15000001,North East,K02000001,UK,05/04/16,01/01/14,22494,0.243415215,53854,0.582772427,16062,0.173812358,92410,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000971,Stockton South,E15000001,North East,K02000001,UK,05/04/16,01/01/14,24719,0.243036506,59859,0.588531988,17131,0.168431506,101709,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000982,Sunderland Central,E15000001,North East,K02000001,UK,05/04/16,01/01/14,21269,0.211004077,61384,0.608974295,18146,0.180021627,100799,593184,0.226517637,1534034,0.585797587,491492,0.187684776,2618710,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
